OHIO,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ","Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
Congressional district, and Size of Adjusted Gross Income, 
Tax Year 2018                                                                                                                                                                                                                                                                                                                                            ",,,
[Money amounts are in thousands of dollars],[Money amounts are in thousands of dollars],,,
State,"Congressional
district [1]",Size of adjusted gross income by congressional district,Number of returns,Percentage
,,,,
Ohio,1,,"358,550",100
Ohio,1,Under $1,"2,940",0.819969321
Ohio,1,"$1 under $10,000","47,370",13.21154651
Ohio,1,"$10,000 under $25,000","69,320",19.3334263
Ohio,1,"$25,000 under $50,000","84,850",23.66476084
Ohio,1,"$50,000 under $75,000","50,290",14.02593781
Ohio,1,"$75,000 under $100,000","32,900",9.175847162
Ohio,1,"$100,000 under $200,000","50,500",14.08450704
Ohio,1,"$200,000 under $500,000","16,260",4.534932366
Ohio,1,"$500,000 or more","4,120",1.149072654
,,,,
Ohio,2,,"345,020",100
Ohio,2,Under $1,"3,270",0.947771144
Ohio,2,"$1 under $10,000","42,180",12.22537824
Ohio,2,"$10,000 under $25,000","64,520",18.7003652
Ohio,2,"$25,000 under $50,000","86,370",25.0333314
Ohio,2,"$50,000 under $75,000","52,470",15.20781404
Ohio,2,"$75,000 under $100,000","32,270",9.353080981
Ohio,2,"$100,000 under $200,000","45,660",13.23401542
Ohio,2,"$200,000 under $500,000","14,610",4.234537128
Ohio,2,"$500,000 or more","3,670",1.063706452
,,,,
Ohio,3,,"371,890",100
Ohio,3,Under $1,"2,580",0.693753529
Ohio,3,"$1 under $10,000","47,200",12.69192503
Ohio,3,"$10,000 under $25,000","92,820",24.95899325
Ohio,3,"$25,000 under $50,000","116,710",31.38293581
Ohio,3,"$50,000 under $75,000","52,770",14.18967974
Ohio,3,"$75,000 under $100,000","26,570",7.144585765
Ohio,3,"$100,000 under $200,000","27,150",7.30054586
Ohio,3,"$200,000 under $500,000","4,960",1.333727715
Ohio,3,"$500,000 or more","1,130",0.30385329
,,,,
Ohio,4,,"337,480",100
Ohio,4,Under $1,"3,060",0.906720398
Ohio,4,"$1 under $10,000","44,330",13.13559322
Ohio,4,"$10,000 under $25,000","65,930",19.5359725
Ohio,4,"$25,000 under $50,000","92,530",27.41792106
Ohio,4,"$50,000 under $75,000","54,170",16.05132156
Ohio,4,"$75,000 under $100,000","33,720",9.991703212
Ohio,4,"$100,000 under $200,000","36,870",10.92509186
Ohio,4,"$200,000 under $500,000","5,740",1.700841531
Ohio,4,"$500,000 or more","1,130",0.334834657
,,,,
Ohio,5,,"354,170",100
Ohio,5,Under $1,"3,130",0.883756388
Ohio,5,"$1 under $10,000","43,890",12.39235395
Ohio,5,"$10,000 under $25,000","62,440",17.62995172
Ohio,5,"$25,000 under $50,000","91,420",25.81246294
Ohio,5,"$50,000 under $75,000","57,130",16.13067171
Ohio,5,"$75,000 under $100,000","37,090",10.47237202
Ohio,5,"$100,000 under $200,000","46,890",13.23940481
Ohio,5,"$200,000 under $500,000","9,980",2.817855832
Ohio,5,"$500,000 or more","2,200",0.621170624
,,,,
Ohio,6,,"304,520",100
Ohio,6,Under $1,"3,170",1.04098253
Ohio,6,"$1 under $10,000","39,820",13.07631683
Ohio,6,"$10,000 under $25,000","66,280",21.76540129
Ohio,6,"$25,000 under $50,000","78,960",25.92933141
Ohio,6,"$50,000 under $75,000","47,190",15.49651911
Ohio,6,"$75,000 under $100,000","29,940",9.831866544
Ohio,6,"$100,000 under $200,000","32,260",10.59372127
Ohio,6,"$200,000 under $500,000","5,680",1.865230527
Ohio,6,"$500,000 or more","1,220",0.4006305
,,,,
Ohio,7,,"344,540",100
Ohio,7,Under $1,"3,460",1.004237534
Ohio,7,"$1 under $10,000","44,770",12.99413711
Ohio,7,"$10,000 under $25,000","68,770",19.9599466
Ohio,7,"$25,000 under $50,000","90,260",26.19724851
Ohio,7,"$50,000 under $75,000","54,790",15.90236257
Ohio,7,"$75,000 under $100,000","34,300",9.955302722
Ohio,7,"$100,000 under $200,000","39,600",11.49358565
Ohio,7,"$200,000 under $500,000","7,280",2.11296221
Ohio,7,"$500,000 or more","1,310",0.380217101
,,,,
Ohio,8,,"342,750",100
Ohio,8,Under $1,"2,950",0.860685631
Ohio,8,"$1 under $10,000","43,990",12.83442743
Ohio,8,"$10,000 under $25,000","64,820",18.91174325
Ohio,8,"$25,000 under $50,000","88,460",25.80889861
Ohio,8,"$50,000 under $75,000","52,710",15.3785558
Ohio,8,"$75,000 under $100,000","33,980",9.913931437
Ohio,8,"$100,000 under $200,000","45,100",13.15827863
Ohio,8,"$200,000 under $500,000","9,290",2.710430343
Ohio,8,"$500,000 or more","1,450",0.423048869
,,,,
Ohio,9,,"337,040",100
Ohio,9,Under $1,"2,880",0.854497982
Ohio,9,"$1 under $10,000","47,400",14.06361263
Ohio,9,"$10,000 under $25,000","81,720",24.24638025
Ohio,9,"$25,000 under $50,000","95,170",28.23700451
Ohio,9,"$50,000 under $75,000","48,880",14.50272965
Ohio,9,"$75,000 under $100,000","26,000",7.714217897
Ohio,9,"$100,000 under $200,000","27,830",8.257180157
